ident,name,runway,latitude,longitude
00NC,North Raleigh Airport,Louisburg,-78.37139893,36.08520126
00NJ,Colgate-Piscataway Heliport,New Brunswick,-74.47460175,40.52090073
00NK,Cliche Cove Seaplane Base,Beekmantown,-73.3698057,44.8118612
00NY,Weiss Airfield,West Bloomfield,-77.49970245,42.90010071
00OH,Exit 3 Airport,Wauseon,-84.14219666,41.59090042
00OI,Miami Valley Hospital Heliport,Dayton,-84.18740082,39.74530029
00OK,Gull Bay Landing Airport,Sandsprings,-96.217693,36.198598
00OR,Steel Systems Heliport,Salem,-123.1299973,44.93289948
00PA,R J D Heliport,Coatesville,-75.74690247,39.94889832
00PN,Ferrell Field,Mercer,-80.211111,41.2995
00PS,Thomas Field,Loysville,-77.365303,40.3778
00S,Mc Kenzie Bridge State Airport,Mc Kenzie Bridge,-122.0889969,44.18320084
00SC,Flying O Airport,Sumter,-80.26719666,34.00939941
00SD,Homan Field,Gary,-96.498897,44.809158
00TA,Sw Region Faa Heliport,Fort Worth,-97.30580139,32.82690048
00TE,Tcjc-Northeast Campus Heliport,Fort Worth,-97.1894989,32.84759903
00TN,Ragsdale Road Airport,Manchester,-85.95359802,35.51589966
00TS,Alpine Range Airport,Everman,-97.24199677,32.60760117
00TX,San Jacinto Methodist Hospital Heliport,Baytown,-94.980201,29.7377
00UT,Clear Creek Ranch Airport,Kanab,-112.821998,37.247799
00VA,Vaughan Airport,Alton,-78.9991684,36.57600021
00VI,Groundhog Mountain Airport,Hillsville,-80.49949646,36.66329956
00W,Lower Granite State Airport,Colfax,-117.4430008,46.67350006
00WA,Howell Airport,Longbranch,-122.7720032,47.17839813
00WI,Northern Lite Airport,Waupaca,-89.05010223,44.3042984
00WN,Hawks Run Airport,Asotin,-117.2490005,46.25
00WV,Lazy J. Aerodrome,Beverly,-79.8660965,38.82889938
00WY,Mountain View Regional Hospital Heliport,Casper,-106.224443,42.840361
00XS,L P Askew Farms Airport,O'Donnell,-101.9339981,33.03340149
01A,Purkeypile Airport,Purkeypile,-152.2700043,62.9435997
01AK,Providence Seward Medical Center Heliport,Seward,-149.446249,60.10587398
01AL,Ware Island Airport,Clanton,-86.51390076,32.94599915
01AR,Community Hospital of De Queen Heliport,De Queen,-94.35489655,34.04729843
01AZ,Yat Heliport,Camp Verde,-111.8649979,34.60810089
01C,Grant Airport,Grant,-85.77500153,43.34170151
01CA,Lugo Substation Heliport,Hesperia,-117.3700587,34.36824059
01CL,Swansboro Country Airport,Placerville,-120.7340012,38.79990005
01CN,Los Angeles County Sheriff's Department Heliport,Los Angeles,-118.1539993,34.03779984
01CO,St Vincent General Hospital Heliport,Leadville,-106.2460022,39.24530029
01CT,Berlin Fairgrounds Heliport,Berlin,-72.72750092,41.62730026
01FA,Rybolt Ranch Airport,Orlando,-81.14420319,28.58939934
01FD,Advent Health Altamonte Springs Heliport,Altamonte Springs,-81.3697,28.666639
01FL,Cedar Knoll Flying Ranch Airport,Geneva,-81.15920258,28.78190041
01GA,Medical Center Heliport,Columbus,-84.97910309,32.47930145
01GE,The Farm Airport,Wrightsville,-82.77110291,32.67440033
01IA,Stender Airport,Maysville,-90.74130249,41.66109848
01ID,Lava Hot Springs Airport,Lava Hot Springs,-112.031998,42.6082
01II,Myers Field,Lizton,-86.50669861,39.88499832
01IL,Hoopeston Community Memorial Hospital Heliport,Hoopeston,-87.65950012,40.45859909
01IN,Community Hospital Heliport,Anderson,-85.69580078,40.13090134
01IS,William E. Koenig Airport,Dow,-90.31819916,39.01620102
01J,Hilliard Airpark,Hilliard,-81.90570068,30.68630028
01K,Caldwell Municipal Airport,Caldwell,-97.58640289,37.03609848
01KS,Flying N Ranch Airport,Lost Springs,-97.00330353,38.54059982
01KY,Lourdes Hospital Heliport,Paducah,-88.64689636,37.05170059
01LA,Barham Airport,Oak Ridge,-91.7736969,32.63899994
01LL,Schumaier Restricted Landing Area,Pinckneyville,-89.46389771,38.12580109
01LS,Country Breeze Airport,Slaughter,-91.07740021,30.70599937
01MA,Compaq Andover Heliport,Andover,-71.18009949,42.62509918
01MD,Annapolis Seaplane Base,Annapolis,-76.456001,38.999199
01ME,Saint Peter's Seaplane Base,Portage Lake,-68.50029755,46.77890015
01MI,Flow Through Terminal Heliport,Flint,-83.67970276,43.04949951
01MN,Barnes Seaplane Base,Cook,-92.55740356,47.89960098
01MO,Highway Patrol Troop C Headquarters Heliport,Town and Country,-90.48429871,38.64170074
01MT,Crystal Lakes Resort Airport,Fortine,-114.8799973,48.78910065
01NC,Topsail Airpark,Holly Ridge,-77.58139801,34.47529984
01NE,Detour Airport,Wellfleet,-100.6529999,40.84360123
01NH,Moore Airfield,Canaan,-72.086998,43.6445
01NJ,Albert Guido Memorial Heliport,Newark,-74.13710022,40.7417984
01NM,Champion Ranch Airport,Artesia,-104.540278,33.008611
01NV,Lantana Ranch Airport,Yerington,-119.0270004,38.76390076
01NY,Vassar Hospital Heliport,Poughkeepsie,-73.935582,41.694187
01OI,Galion Community Hospital Heliport,Galion,-82.8015976,40.73059845
01OK,Lawrence Airport,Eakly,-98.636496,35.294498
01OR,Red & White Flying Service Airport,Silver Lake,-121.044997,43.119301
01PA,Pine Heliport,Mars,-80.05090332,40.6556015
01PN,Bierly(Personal Use) Airport,Bellefonte,-77.73889923,40.93059921
01PS,Nort's Resort Airport,Meshoppen,-76.02960205,41.59590149
01SC,York Airport,York,-81.25279999,35.03210068
01TA,Thirty Thirty Matlock Office Center Heliport,Arlington,-97.11579895,32.69419861
01TE,Smith Field,Forney,-96.4280014,32.73759842
01TN,Colonial Air Park,Collierville,-89.73059845,34.9958992
01TS,St Joseph Hospital Heliport,Fort Worth,-97.324501,32.7285
01TX,Mims Farm Ultralightport,Waxahachie,-96.87750244,32.38759995
01U,Duckwater Airport,Duckwater,-115.6340027,38.85160065
01UT,La Sal Junction Airport,La Sal,-109.3960037,38.30830002
01VA,Pickles Airport,Berryville,-77.92500305,39.125
01WA,Willapa Harbor Heliport,South Bend,-123.8119965,46.66320038
01WI,Prehn Cranberry Company Airport,Tomah,-90.3891983,44.00999832
01WN,Whidbey General Hospital Heliport,Coupeville,-122.6849976,48.21340179
01WT,Odyssey Heliport,Renton,-122.210908,47.518178
01WY,Keyhole Airport,Moorcroft,-104.810997,44.34719849
01XA,Seton Medical Center Hays Heliport,Kyle,-97.853333,30.007222
01XS,Meadowood Ranch Heliport,Athens,-95.74549866,32.02019882
02AK,Rustic Wilderness Airport,Willow,-150.0980072,61.87689972
02AL,Bass Field,Foley,-87.76439667,30.37150002
02AR,Three Rivers Airport,Little Rock,-92.44442,34.822445
02AZ,Winchester Farm Airstrip,Willcox,-109.936996,32.376401
02CA,Swepi Beta Platform Ellen Heliport,Huntington Beach,-118.1289978,33.58250046
02CD,Shannon Field,Clarksdale,-90.52400208,34.12960052
02CL,Conover Air Lodge Airport,Frazier Park,-119.058998,34.761101
02CO,Mc Cullough Airport,Monte Vista,-106.0469971,37.6432991
02CT,Strangers Point Heliport,Ellington,-72.44450378,41.91960144
02FA,Osborn Airfield,Groveland,-81.87480164,28.52669907
02FL,Cuchens Airport,Defuniak Springs,-86.123889,30.642778
02GA,Doug Bolton Field,Commerce,-83.42900085,34.20259857
02GE,Etowah Fields Airport,Euharlee,-84.92440033,34.1753006
02HI,K3 Helipad Heliport,Pearl Harbor,-157.951004,21.36199951
02IA,Boone County Hospital Heliport,Boone,-93.87799835,42.05609894
02ID,Morgan Ranch Airport,Cascade,-115.3050003,44.55550003
02II,King Ultralightport,Westfield,-86.21050262,40.06230164
02IN,Diamond P. Field,Muncie,-85.540802,40.20890045
02IS,Condell Medical Center Heliport,Libertyville,-87.95729828,42.27460098
02KS,Jmj Landing Airport,St Marys,-96.05529785,39.22219849
02KT,St Claire Healthcare Heliport,Morehead,-83.443319,38.181441
02KY,Boone National Guard Heliport,Frankfort,-84.89990234,38.1833992
02LA,La State Police Troop G Heliport,Bossier City,-93.66020203,32.53129959
02LS,Windy Hill Heliport,Broussard,-91.91899872,30.14830017
02MA,Cuttyhunk Heliport,Gosnold,-70.92700195,41.41960144
02MD,Garner Field,Brandywine,-76.709739,38.672544
02ME,Nadeau's Airport,Acton,-70.929397,43.5373
02MI,Fairplains Airpark,Greenville,-85.14849854,43.15710068
02MN,Greenbush Municipal Airport,Greenbush,-96.19200134,48.68330002
02MO,Troy Airpark,Troy,-91.03350067,39.04999924
02MS,Watts Field,Rochdale,-90.84680176,34.10010147
02MT,Barrett Field,Cascade,-111.74304,47.2374
02MU,Timber Line Airpark,Cassville,-93.797418,36.654233
02NC,Race City Heliport,Landis,-80.597778,35.541111
02NE,Benes Service Airport,Valparaiso,-96.90450287,41.07450104
02NH,Iroquois Landing Seaplane Base,Dummer,-71.21910095,44.65710068
02NJ,Penske Heliport,Piscataway,-74.46710205,40.55730057
02NV,Paiute Meadows Airport,Winnemucca,-118.5979996,41.30329895
02NY,Hansen Heliport,Durhamville,-75.65550232,43.13259888
02OH,Zimmerman Airport,Fremont,-83.08329773,41.37639999
02OI,Murtha Airport,Conneaut,-80.56539917,41.80199814
02OK,Canon Heliport,Oklahoma City,-97.525297,35.458401
02OR,Rowena Dell Airport,The Dalles,-121.3160019,45.68149948
02P,Stottle Memorial Heliport,Honey Grove,-77.556602,40.403596
02PA,Lag Iii Heliport,Monroeville,-79.76999664,40.43830109
02PN,Peco Berwyn Heliport,Berwyn,-75.4552002,40.06959915
02PR,Cuylers Airport,Vega Baja,-66.36689758,18.45330048
02PS,Hughes Ultralightport,Tioga,-77.2303009,41.90060043
02SC,Harpers Airport,Estill,-81.22480011,32.75849915
02T,Wise River Airport,Wise River,-112.9820023,45.76910019
02TA,Matagorda Shore Facility Heliport,Matagorda,-95.87380219,28.72139931
02TE,Baylor Medical Center Heliport,Waxahachie,-96.86419678,32.395401
02TN,Ellis Field,Murfreesboro,-86.584198,35.7806015
02TS,FWOMC Heliport,Fort Worth,-97.370003,32.747601
02TX,The Palms At Kitty Hawk Airport,New Home,-101.9228821,33.37040329
02UT,Lucin Airport,Lucin,-113.8430023,41.36629868
02VA,The Greenhouse Airport,Culpeper,-77.85720062,38.43569946
02VG,Northstar Aviation Heliport,Bristol,-82.11669922,36.63880157
02WA,Cawleys South Prairie Airport,South Prairie,-122.0940018,47.15230179
02WI,Beer Airport,Hudson,-92.65579987,45.0318985
02WN,Fowler Field,Tonasket,-119.3190002,48.74580002
02XA,JLS Farms Airport,Honey Grove,-95.882864,33.591319
02XS,Seidel Ranch Airport,Elroy,-97.66280365,30.14769936
03AA,Trapper T Heliport,Palmer,-149.284527,61.556055
03AK,Joe Clouds Seaplane Base,Kenai,-151.132782,60.72722244
03AL,Highland Medical Center Heliport,Scottsboro,-86.046774,34.662604
03AR,Hscmh Heliport,Malvern,-92.78849792,34.35760117
03AZ,Thompson International Aviation Airport,Hereford,-110.0839996,31.4333992
03CA,Grossmont Hospital Heliport,La Mesa,-117.006952,32.779484
03CO,Kugel-Strong Airport,Platteville,-104.7440033,40.21250153
03FA,Lake Persimmon Airstrip,Lake Placid,-81.40809631,27.35309982
03FD,Tharpe Airport,Bonifay,-85.731003,30.8288
03FL,Ranger Heliport,West Palm Beach,-80.18730164,26.68370056
03GA,HIA Airport,Statesboro,-81.8576944,32.5623056
03I,Clarks Dream Strip,Circleville,-83.018204,39.644199
03IA,East Field,Montezuma,-92.46130371,41.58190155
03ID,Flying Y Ranch Airport,Council,-116.5329971,44.79430008
03II,Davis Field Ultralightport,Mount Vernon,-87.77890015,37.9620018
03IL,Wix Airport,Monee,-87.8167038,41.40230179
03IN,Heinzman Airport,Arcadia,-86.01249695,40.18000031
03IS,OSF St Anthony's Health Center Heliport,Alton,-90.173401,38.904999
03KS,Valley Grain Heliport,Highland,-95.26409912,39.86470032
03KY,Flying H Farms Airport,Henderson,-87.54139709,37.79169846
03LA,Damien Heliport,Carville,-91.12789917,30.19960022
03LS,Fmc Nr 1 Heliport,Winnsboro,-91.70800018,32.1590004
03M,Lakeside Marina Seaplane Base,East Winthrop,-69.88950348,44.32089996
03MA,Hadley Airport,Hadley,-72.55200195,42.39310074
03MD,Upper Chesapeake Medical Center Heliport,Bel Air,-76.3266983,39.52249908
03ME,Maple Ridge Airport,Harrison,-70.62729645,44.08420181
03MI,Harold Miller Heliport,Bay City,-83.86219788,43.55089951
03MN,Nauerth Land Ranch Airport,Lakefield,-95.22470093,43.62519836
03MO,Cahoochie Airport,Urbana,-93.131599,37.884499
03MS,Vicksburg Medical Center Heliport,Vicksburg,-90.8832016,32.31880188
03MT,Cascade Field,Cascade,-111.71748,47.267327
03MU,Mc Donnell Airport,Archie,-94.41249847,38.49250031
03N,Utirik Airport,Utirik Island,169.852005,11.222
03NC,Pilots Ridge Airport,Carolina Beach,-77.90419769,34.10430145
03ND,Olafson Brothers Airport,Edinburg,-97.82900238,48.62639999
03NE,Hyde Ranch Airport,Comstock,-99.33119965,41.54639816
03NH,Lorden Heliport,Milford,-71.12439728,42.81539917
03NJ,At&T Heliport,Berkeley Heights,-74.41069794,40.66870117
03NV,Llama Ranch Airport,Ruby Valley,-115.2979965,40.58440018
03NY,Talmage Field,Riverhead,-72.71679688,40.95840073
03OH,Gibbs Field,Fremont,-83.01740265,41.41839981
03OI,Marymount Hospital Heliport,Garfield Heights,-81.59980011,41.42089844
03OK,Sahoma Lake Airport,Sapulpa,-96.16139984,36.04119873
03OR,Powwatka Ridge Airport,Troy,-117.4840012,45.85540009
03PA,Collegeville Heliport,Collegeville,-75.46569824,40.16289902
03PN,M.P. Metals Heliport,Berwick,-76.180806,41.066861
03PR,Sun View Field Airport,Bonner Springs,-94.921703,39.065947
03PS,Ziggy's Field,Bellefonte,-77.905602,40.849998
03S,Sandy River Airport,Sandy,-122.2289963,45.40179825
03SC,Seacoast Medical Center Heliport,Little River,-78.66190338,33.86500168
03TA,Gay Hill Farm Airport,Gay Hill,-96.500198,30.262699
03TE,Barronena Ranch Airport,Hebbronville,-98.66950226,27.49110031
03TN,Eagles Landing Heliport,Sevierville,-83.57939911,35.92250061
03TS,Shannon Medical Center Heliport,San Angelo,-100.4380035,31.4598999
03TX,M D K Field,Pearland,-95.30719757,29.58160019
03UT,A Z Minerals Corporation Airport,Mexican Hat,-109.9860001,37.12080002
03VA,Whipoorwill Springs Airport,Nokesville,-77.57969666,38.66460037
03WA,Spangle Field,Spangle,-117.3720016,47.40819931
03WI,Zink Airport,Berlin,-88.883945,44.028873
03WN,Aerostone Ranch Airport,Goldendale,-120.6699982,45.875
03XS,Creekside Airport,Mertzon,-100.7539978,31.31809998
04AA,Phil's Airport,Soldotna,-150.811387,60.535833
04AL,Anniston AHP (Anniston Army Depot),Anniston,-85.96720123,33.62639999
04AR,Saline Memorial Hospital Heliport,Benton,-92.586047,34.574319
04AZ,Chinle Airport,Chinle,-109.5510025,36.15420151
04CA,Gray Butte Field,Palmdale,-117.675003,34.5639
04CL,Hunt's Sky Ranch Airport,Julian,-116.4410019,33.08169937
04CT,Shingle Mill Heliport,Harwinton,-73.05239868,41.75510025
04F,De Leon Municipal Airport,De Leon,-98.525325,32.098801
04FA,Richards Field,Homestead,-80.51509857,25.55870056
04FD,Tampa General Hospital Brandon Healthplex Heliport,Brandon,-82.336981,27.929372
04FL,Cross Creek Farms Airport,Ormond,-81.22200012,29.23940086
04I,Columbus Southwest Airport,Columbus,-83.188797,39.91120148
04IA,Middlekoop Airport,Packwood,-92.05460358,41.0882988
04ID,Lanham Field,Emmett,-116.5370026,43.87770081
04II,Turkey Run Airport,New Haven,-84.99410248,41.13059998
04IL,Schertz Aerial Service - Hudson Airport,Hudson,-89.00700378,40.63750076
04IN,Lake Gage Seaplane Base,Angola,-85.113056,41.701389
04IS,Van Gorder Airport,Mansfield,-88.56900024,40.17860031
04KS,Robinson Industries Heliport,Lawrence,-95.21970367,38.97890091
04KY,Natchez Trace Farm Airport,Hiseville,-85.78939819,37.13510132
04LA,St James Heliport,Lutcher,-90.702222,30.051111
04LL,Brunner Airport,West Dundee,-88.28759766,42.13610077
04LS,La National Guard Heliport,Baton Rouge,-91.1053009,30.44610023
04MA,Goddard Field (Airport),Haverhill,-71.1391983,42.80979919
04MD,Chesapeake City Heliport,Chesapeake City,-75.8214035,39.51810074
04ME,Beech Hill Airport,Mercer,-69.89389801,44.66669846
04MI,Rapids Airway Airport,Eaton Rapids,-84.62830353,42.53450012
04MN,Helblad Airport,Kelliher,-94.68689728,47.9858017
04MO,Airpark Private Airport,Vandalia,-91.45149994,39.30120087
04MS,Nick's Flying Service Inc Airport,Rolling Fork,-90.83730316,32.9396019
04MT,Pluhar Airport,Cohagen,-106.488095,47.13749778
04NC,Western Wake Medical Center Heliport,Cary,-78.78220367,35.73920059
04NE,Mc Connell Field Airport,Sarben,-101.2990036,41.15999985
04NJ,Emmanuel Airport,Elmer,-75.23349762,39.59680176
04NV,Kingston Ranch Airport,Sandy Valley,-115.6650009,35.75550079
04NY,Klaverack Airport,Hudson,-73.69619751,42.26229858
04OG,Teufel Heliport,Forest Grove,-123.085556,45.530833
04OH,Bossow Airport,Garrettsville,-81.100701,41.2477
04OK,Stillwater Medical Center Heliport,Stillwater,-97.07949829,36.11529922
04OR,Collins Landing Strip,Mitchell,-120.2009964,44.74990082
04PA,S & C Distribution Center Heliport,Philadelphia,-75.22879791,39.87929916
04PN,Strawbridge & Clothier Exton Heliport,Exton,-75.63021,40.0306619
04SC,Emergency Helipad,Easley,-82.60690308,34.84059906
04SD,Cheyenne River Health Center Heliport,Eagle Butte,-101.243011,44.993124
04TA,Capitol National Bank Building Heliport,Austin,-97.74469757,30.27104167
04TE,Veterans Affairs Medical Center Heliport,Houston,-95.38739777,29.70019913
04TN,Hensley Airpark,Chuckey,-82.67890167,36.18330002
04TS,Hummingbird Heliport,Hutto,-97.60610199,30.55349922
04TX,Pocock Airport,China Spring,-97.36889648,31.73220062
04UT,Navajo Mountain Airport,Navajo Mountain Trdng Post,-110.7949982,37.00830078
04V,Saguache Municipal Airport,Saguache,-106.1743889,38.0990833
04VA,Russell County Medical Center Heliport,Lebanon,-82.078,36.898
04VG,Manquin Flight Park Ultralightport,Manquin,-77.21179962,37.71440125
04VT,Lightning Bolt Field Airport,Cabot,-72.26360321,44.40110016
04W,Field of Dreams Airport,Hinckley,-92.895401,46.02280045
04WA,Ox Meadows Airport,Spokane,-117.4369965,47.58179855
04WI,Dutch Gap Airstrip,Bristol,-88.01670074,42.52339935
04WN,Stillwater Creek Airport,Royal City,-119.641667,46.963889
04WV,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,Morgantown,-79.95611111,39.65361111
04XS,Schmidts Heliport,Mansfield,-97.142502,32.5821
05AK,Wasilla Creek Airpark,Palmer,-149.1880035,61.66830063
05AL,Allen Stagefield Army Heliport,Fort Rucker/Wicksburg,-85.64969635,31.23119926
05AR,Ozark Skies Airpark,Kingston,-93.57025,36.000633
05AZ,Yuma Regional Medical Center Heliport,Yuma,-114.6340027,32.68280029
05B,Van Buren Seaplane Base,Van Buren,-67.931999,47.158901
05CA,Lost Hills Sheriff's Station Heliport,Calabasas,-118.7139969,34.13779831
05CL,Pope Valley Airport,Pope Valley,-122.3909988,38.6106987
05CO,Rancho De Aereo Airport,Mead,-104.9844228,40.2149839
05CT,O And G Heliport,Torrington,-73.11620331,41.77370071
05FA,Melanie's Airport,Florala,-86.21829987,30.91889954
05FD,Aventura Heliport,North Miami Beach,-80.1391983,25.96089935
05FL,Charlton Strip,La Belle,-81.40830231,26.5230999
05GA,Raju Airport,Richland,-84.71440125,32.07139969
05IA,Spotts Field,Nora Springs,-93.06829834,43.13750076
05ID,Running Creek Ranch Airport,Grangeville,-114.835999,45.914101
05II,Reichhart Airport,New Haven,-84.99720001,41.02870178
05IL,Classic Landings Airport,Bonfield,-88.01670074,41.15670013
05IN,Cooper Airport,Belleville,-86.5042038,39.64199829
05IS,Hardy Airport,Mount Auburn,-89.26399994,39.72589874
05KS,Darbro Field,Elk City,-95.959198,37.26620102
05KY,Cartersville Airport,Berea,-84.40720367,37.53689957
05LA,Greg's Flying Service Airport,Baskin,-91.69779968,32.26530075
05LL,Midwest Heliport,Willowbrook,-87.93509674,41.74890137
05LS,Grass Roots Airport,Alexandria,-92.47579956,31.25219917
05M,Pauls Valley General Hospital Heliport,Pauls Valley,-97.214237,34.71979
05MA,Bentley Heliport,Ipswich,-70.91230011,42.69120026
05MD,Breezecroft Airport,Chestertown,-76.2052002,39.25009918
05ME,Drisko Airport,Jonesboro,-67.55919647,44.6570015
05MN,Northern Pines Medical Center Heliport,Aurora,-92.2302778,47.5175001
05MO,Portageville Community Heliport,Portageville,-89.68009949,36.42979813
05MS,Va Medical Center Jackson Heliport,Jackson,-90.16809845,32.31890106
05MT,Jones Landing,Belgrade,-111.152163,45.815368
05NC,Brunswick Community Hospital Heliport,Supply,-78.2911,34.008099
05NE,Mc Kay Airport,Spalding,-98.30899811,41.72219849
05NH,Stumpfield Heliport,Kensington,-70.95140076,42.9239006
05NJ,Paulus Hook Pier Heliport,Jersey City,-74.03150177,40.7140007
05NV,Baker Ranches Airport,Baker,-114.088219,39.0311
05NY,Oswego County At Pulaski Heliport,Pulaski,-76.09020233,43.55199814
05OI,Dorlon Airpark,Columbia Station,-81.96260071,41.28839874
05OK,Hawk Haven Airport,Crescent,-97.567497,35.8534
05OR,Peacock Ranch Airport,Enterprise,-117.3509979,45.44150162
05PA,PECO Mob. Heliport,Philadelphia,-75.178201,39.9548
05PN,State Police Area Iii Heliport,Harrisburg,-76.85800171,40.30009842
05PS,Mills Brothers Airport,Burnt Cabins,-77.86190033,40.14279938
05S,Vernonia Airfield,Vernonia,-123.2419968,45.85150146
05TA,Brandes Air Field,Sealy,-96.26509857,29.8090992
05TE,Hilde-Griff Field,Georgetown,-97.79139709,30.7220993
05TN,Thurmond Glenn Field,Covington,-89.552903,35.556998
05TS,Dew Drop Airport,Justin,-97.3585968,33.12929916
05TX,Circle 'A' Ranch Airport,Blum,-97.40419769,32.12919998
05UT,Oljato Airport,Oljato,-110.3170013,37.03329849
05V,Blanca Airport,Blanca,-105.552002,37.41109848
05VA,Providence Airport,Farmville,-78.41860199,37.2242012
05VT,Port of Highgate Springs Heliport,Highgate Springs,-73.08670044,45.01330185
05WA,Sacred Heart Medical Center Helistop,Spokane,-117.4140015,47.64820099
05WI,Ames Private Airport,Darien,-88.74590302,42.65110016
05WN,Flat Creek Field,Kettle Falls,-118.0475,48.702222
05XS,Johnson Memorial Airport,Wilmot,-91.54319763,33.07929993
05Y,Henning Municipal Airport,Henning,-95.4394989,46.30379868
06AK,June Lake Airpark,Wasilla,-149.575331,61.627619
06AL,Brown Stagefield Army Heliport,Fort Rucker/New Brockton,-85.97239685,31.38839912
06AR,Bondair Airport,Higden,-92.18489838,35.54449844
06AZ,Mercy Gilbert Medical Center Heliport,Gilbert,-111.7529984,33.28580093
06B,Lucky Landing Marina and Seaplane Base,Bangor,-68.80500031,44.9070015
06CA,Sce Solar I Heliport,Yermo,-116.8339996,34.87080002
06CL,Abc7-Tv Heliport,Glendale,-118.2890015,35.15719986
06CO,Jecan Airport,Branson,-103.6910019,37.38750076
06FA,William P Gwinn Airport,Jupiter,-80.3289032,26.90839958
06FD,Grass Roots Airpark,Mascotte,-81.88500214,28.64170074
06FL,Morton Plant Hospital Heliport,Clearwater,-82.8042984,27.95339966
06GA,Smith Heliport,Redan,-84.16210175,33.7533989
06I,Patoka Reservoir Landing Area Seaplane Base,French Lick,-86.69110107,38.4333992
06IA,Rich Field,Walford,-91.83429718,41.84140015
06ID,Larkin Airport,Kuna,-116.3590012,43.46269989
06IL,Humm Airport,Earlville,-88.86990356,41.59949875
06IN,Ellis Fly-In Airport,Blackhawk,-87.303596,39.282799
06IS,Sinele Strip,Nauvoo,-91.27429962,40.54639816
06KS,Riverside Hospital Airlift Heliport,Wichita,-97.37249756,37.69580078
06KY,Falcon Heliport,Jackson,-83.34519958,37.52590179
06LA,Panther Helicopters Inc Heliport,Belle Chasse,-90.02780151,29.84600067
06LL,Hammersmith Heliport,Elburn,-88.496901,41.8736
06LS,Tembec Heliport,St Francisville,-91.32019806,30.70789909
06MA,The Barn Heliport,Pepperell,-71.60900116,42.69060135
06MD,Bayview Heliport,Baltimore,-76.5463028,39.29140091
06ME,Barker Heliport,Bethel,-70.844275,44.415247
06MI,W A Foote Memorial Hospital Heliport,Jackson,-84.3914032,42.25109863
06MN,Pike Field Airport,Virginia,-92.41670227,47.65190125
06MO,Noahs Ark Airport,Waldron,-94.80439758,39.23059845
06MT,Torgerson Airport,Ethridge,-112.1090012,48.55830002
06N,Randall Airport,Middletown,-74.39160156,41.43199921
06NC,Tailwinds Airport,St. Pauls,-78.93029785,34.82749939
06ND,Fitterer's Strip,Glen Ullin,-101.6689987,46.74890137
06NE,St Marys Hospital Heliport,Nebraska City,-95.86170197,40.68000031
06NH,Cole Farm Airport,Kensington,-70.97309875,42.92839813
06NJ,Chemical Bank - New Jersey Na Heliport,Moorestown,-74.999603,39.950102
06NV,Silver Creek Airport,Baker,-114.150277,39.098333
06NY,Murphy Field,Auburn,-76.44529724,42.84280014
06O1,Saint Elizabeth Medical Center Heliport,Youngstown,-80.65699768,41.1147995
06OH,Hal Joy Airfield,Williamsfield,-80.59120178,41.50979996
06OI,Green Acres Airport,New Lebanon,-84.38220215,39.73479843
06OK,Albert Lodge Heliport,Grove,-94.83360291,36.54169846
06OR,Hayden Mountain Airport,Forest Grove,-123.0800018,45.46509933
